# N =    10000
# log10(h) =  -4.0000434273
# Max Error =  -7.0792851152
# Runtime:      0.19238E+04 s
#=====================================================
#   x             v(x)             u(x)       Rel.Err
#=====================================================
  0.0000999900  0.0008994147  0.0008994148 -7.0792853054
  0.0001999800  0.0017978307  0.0017978308 -7.0792852241
  0.0002999700  0.0026952488  0.0026952490 -7.0792852467
  0.0003999600  0.0035916701  0.0035916704 -7.0792851152
  0.0004999500  0.0044870957  0.0044870960 -7.0792853382
  0.0005999400  0.0053815264  0.0053815268 -7.0792852651
  0.0006999300  0.0062749633  0.0062749638 -7.0792851961
  0.0007999200  0.0071674073  0.0071674079 -7.0792853029
  0.0008999100  0.0080588596  0.0080588602 -7.0792852645
  0.0009999000  0.0089493209  0.0089493217 -7.0792853484
  0.0010998900  0.0098387925  0.0098387933 -7.0792853191
  0.0011998800  0.0107272751  0.0107272760 -7.0792852854
  0.0012998700  0.0116147699  0.0116147709 -7.0792853685
  0.0013998600  0.0125012778  0.0125012789 -7.0792853211
  0.0014998500  0.0133867998  0.0133868010 -7.0792853375
  0.0015998400  0.0142713369  0.0142713381 -7.0792853820
  0.0016998300  0.0151548901  0.0151548913 -7.0792853687
  0.0017998200  0.0160374603  0.0160374616 -7.0792853490
  0.0018998100  0.0169190485  0.0169190499 -7.0792854036
  0.0019998000  0.0177996558  0.0177996573 -7.0792854031
  0.0020997900  0.0186792830  0.0186792846 -7.0792853909
  0.0021997800  0.0195579313  0.0195579329 -7.0792854206
  0.0022997700  0.0204356014  0.0204356031 -7.0792854121
  0.0023997600  0.0213122945  0.0213122963 -7.0792854147
  0.0024997500  0.0221880116  0.0221880134 -7.0792854438
  0.0025997400  0.0230627535  0.0230627554 -7.0792854628
  0.0026997300  0.0239365212  0.0239365232 -7.0792854543
  0.0027997200  0.0248093158  0.0248093179 -7.0792854850
  0.0028997100  0.0256811382  0.0256811403 -7.0792854842
  0.0029997000  0.0265519893  0.0265519916 -7.0792855179
  0.0030996900  0.0274218703  0.0274218725 -7.0792855124
  0.0031996800  0.0282907819  0.0282907842 -7.0792855163
  0.0032996700  0.0291587252  0.0291587276 -7.0792855549
  0.0033996600  0.0300257012  0.0300257037 -7.0792855531
  0.0034996500  0.0308917107  0.0308917133 -7.0792855502
  0.0035996400  0.0317567549  0.0317567575 -7.0792855703
  0.0036996300  0.0326208346  0.0326208373 -7.0792855795
  0.0037996200  0.0334839508  0.0334839536 -7.0792855813
  0.0038996100  0.0343461045  0.0343461074 -7.0792856170
  0.0039996000  0.0352072967  0.0352072996 -7.0792856128
  0.0040995900  0.0360675282  0.0360675312 -7.0792856221
  0.0041995800  0.0369268001  0.0369268032 -7.0792856407
  0.0042995700  0.0377851133  0.0377851165 -7.0792856482
  0.0043995600  0.0386424688  0.0386424720 -7.0792856516
  0.0044995500  0.0394988675  0.0394988708 -7.0792856771
  0.0045995400  0.0403543105  0.0403543138 -7.0792856889
  0.0046995300  0.0412087985  0.0412088019 -7.0792857057
  0.0047995200  0.0420623327  0.0420623362 -7.0792857174
  0.0048995100  0.0429149139  0.0429149175 -7.0792857136
  0.0049995000  0.0437665431  0.0437665467 -7.0792857420
  0.0050994901  0.0446172213  0.0446172250 -7.0792857377
  0.0051994801  0.0454669493  0.0454669531 -7.0792857530
  0.0052994701  0.0463157283  0.0463157321 -7.0792857709
  0.0053994601  0.0471635590  0.0471635629 -7.0792857837
  0.0054994501  0.0480104425  0.0480104465 -7.0792857853
  0.0055994401  0.0488563797  0.0488563838 -7.0792858039
  0.0056994301  0.0497013715  0.0497013757 -7.0792858075
  0.0057994201  0.0505454189  0.0505454232 -7.0792858202
  0.0058994101  0.0513885229  0.0513885272 -7.0792858325
  0.0059994001  0.0522306843  0.0522306887 -7.0792858350
  0.0060993901  0.0530719042  0.0530719086 -7.0792858392
  0.0061993801  0.0539121834  0.0539121879 -7.0792858541
  0.0062993701  0.0547515229  0.0547515275 -7.0792858588
  0.0063993601  0.0555899237  0.0555899283 -7.0792858708
  0.0064993501  0.0564273866  0.0564273913 -7.0792858869
  0.0065993401  0.0572639126  0.0572639174 -7.0792858899
  0.0066993301  0.0580995027  0.0580995075 -7.0792859011
  0.0067993201  0.0589341578  0.0589341627 -7.0792859155
  0.0068993101  0.0597678788  0.0597678837 -7.0792859190
  0.0069993001  0.0606006666  0.0606006717 -7.0792859367
  0.0070992901  0.0614325222  0.0614325274 -7.0792859417
  0.0071992801  0.0622634466  0.0622634518 -7.0792859479
  0.0072992701  0.0630934406  0.0630934459 -7.0792859617
  0.0073992601  0.0639225052  0.0639225105 -7.0792859705
  0.0074992501  0.0647506413  0.0647506467 -7.0792859812
  0.0075992401  0.0655778498  0.0655778552 -7.0792859955
  0.0076992301  0.0664041317  0.0664041372 -7.0792859975
  0.0077992201  0.0672294878  0.0672294934 -7.0792860013
  0.0078992101  0.0680539192  0.0680539249 -7.0792860242
  0.0079992001  0.0688774267  0.0688774325 -7.0792860327
  0.0080991901  0.0697000113  0.0697000171 -7.0792860371
  0.0081991801  0.0705216739  0.0705216798 -7.0792860515
  0.0082991701  0.0713424154  0.0713424213 -7.0792860578
  0.0083991601  0.0721622366  0.0721622427 -7.0792860718
  0.0084991501  0.0729811387  0.0729811448 -7.0792860789
  0.0085991401  0.0737991224  0.0737991285 -7.0792860947
  0.0086991301  0.0746161887  0.0746161949 -7.0792861037
  0.0087991201  0.0754323385  0.0754323447 -7.0792861095
  0.0088991101  0.0762475727  0.0762475790 -7.0792861185
  0.0089991001  0.0770618922  0.0770618986 -7.0792861365
  0.0090990901  0.0778752980  0.0778753044 -7.0792861472
  0.0091990801  0.0786877909  0.0786877974 -7.0792861556
  0.0092990701  0.0794993719  0.0794993785 -7.0792861725
  0.0093990601  0.0803100418  0.0803100485 -7.0792861834
  0.0094990501  0.0811198017  0.0811198085 -7.0792861890
  0.0095990401  0.0819286524  0.0819286592 -7.0792862040
  0.0096990301  0.0827365948  0.0827366016 -7.0792862110
  0.0097990201  0.0835436297  0.0835436367 -7.0792862245
